Pos,Team,Pts,Year,Constructor
1,Mercedes,613.5,2021,Mercedes
2,Red Bull Racing Honda,585.5,2021,Red Bull
3,Ferrari,323.5,2021,Ferrari
4,McLaren Mercedes,275.0,2021,McLaren
5,Alpine Renault,155.0,2021,Alpine Renault
6,AlphaTauri Honda,142.0,2021,AlphaTauri
7,Aston Martin Mercedes,77.0,2021,Aston Martin Mercedes
8,Williams Mercedes,23.0,2021,Williams
9,Alfa Romeo Racing Ferrari,13.0,2021,Alfa Romeu
10,Haas Ferrari,0.0,2021,Haas Ferrari
1,Red Bull Racing RBPT,759.0,2022,Red Bull
2,Ferrari,554.0,2022,Ferrari
3,Mercedes,515.0,2022,Mercedes
4,Alpine Renault,173.0,2022,Alpine Renault
5,McLaren Mercedes,159.0,2022,McLaren
6,Alfa Romeo Ferrari,55.0,2022,Alfa Romeu
7,Aston Martin Aramco Mercedes,55.0,2022,Aston Martin Mercedes
8,Haas Ferrari,37.0,2022,Haas Ferrari
9,AlphaTauri RBPT,35.0,2022,AlphaTauri
10,Williams Mercedes,8.0,2022,Williams
1,Red Bull Racing Honda RBPT,860.0,2023,Red Bull
2,Mercedes,409.0,2023,Mercedes
3,Ferrari,406.0,2023,Ferrari
4,McLaren Mercedes,302.0,2023,McLaren
5,Aston Martin Aramco Mercedes,280.0,2023,Aston Martin Mercedes
6,Alpine Renault,120.0,2023,Alpine Renault
7,Williams Mercedes,28.0,2023,Williams
8,AlphaTauri Honda RBPT,25.0,2023,AlphaTauri
9,Alfa Romeo Ferrari,16.0,2023,Alfa Romeu
10,Haas Ferrari,12.0,2023,Haas Ferrari
1,McLaren Mercedes,666.0,2024,McLaren
2,Ferrari,652.0,2024,Ferrari
3,Red Bull Racing Honda RBPT,589.0,2024,Red Bull
4,Mercedes,468.0,2024,Mercedes
5,Aston Martin Aramco Mercedes,94.0,2024,Aston Martin Mercedes
6,Alpine Renault,65.0,2024,Alpine Renault
7,Haas Ferrari,58.0,2024,Haas Ferrari
8,RB Honda RBPT,46.0,2024,Red Bull
9,Williams Mercedes,17.0,2024,Williams
10,Kick Sauber Ferrari,4.0,2024,Kick Sauber Ferrari
